time	force
86603	2.9687686
86719	2.9687686
86835	2.9687686
86951	2.9153929
87068	2.9153929
87183	2.9153929
87300	2.8851578
87417	2.8851578
87532	2.8851578
87649	2.8851578
87765	2.8295865
87882	2.8295865
87998	2.8295865
88114	2.8295865
88230	2.8385386
88345	2.8385386
88460	2.8385386
88576	2.8081348
88692	2.8081348
88807	2.8081348
88923	2.8081348
89039	2.7809403
89155	2.7809403
89271	2.7809403
89387	2.7809403
89504	2.7535768
89620	2.7535768
89739	2.7535768
89854	2.722835
89971	2.722835
90087	2.722835
90203	2.722835
90320	2.7196257
90436	2.7196257
90552	2.7196257
90667	2.7196257
90783	2.6998632
90899	2.6998632
91016	2.6998632
91132	2.6866882
91248	2.6866882
91365	2.6866882
91482	2.6866882
91598	2.6559465
91714	2.6559465
91830	2.6559465
91946	2.63061
92061	2.63061
92177	2.63061
92293	2.63061
92408	2.6142256
92524	2.6142256
92640	2.6142256
92756	2.6142256
92872	2.591085
92989	2.591085
93106	2.591085
93222	2.5828085
93339	2.5828085
93455	2.5828085
93570	2.5828085
93686	2.5466616
93802	2.5466616
93918	2.5466616
94034	2.5466616
94151	2.5201426
94267	2.5201426
94382	2.5201426
94499	2.527237
94614	2.527237
94730	2.527237
94847	2.527237
94962	2.4818
95077	2.4818
95193	2.4818
95309	2.4818
95425	2.5039272
95542	2.5039272
95657	2.5039272
95773	2.4417682
95889	2.4417682
96005	2.4417682
96121	2.4417682
96237	2.4512272
96353	2.4512272
96470	2.4512272
96586	2.4203167
96701	2.4203167
96817	2.4203167
96934	2.4203167
97050	2.3973448
97166	2.3973448
97282	2.3973448
97399	2.3973448
97515	2.3946424
97631	2.3946424
